City,Period,Temperature,Status
JOAO PESSOA,2021-06,27.0,Perfect
JOAO PESSOA,2021-07,27.0,Perfect
JOAO PESSOA,2021-08,27.0,Perfect
JOAO PESSOA,2021-09,27.0,Perfect
JOAO PESSOA,2021-10,27.0,Perfect
JOAO PESSOA,2021-11,27.0,Perfect
JOAO PESSOA,2021-12,28.0,Perfect
JOAO PESSOA,2022-01,27.0,Perfect
JOAO PESSOA,2022-02,28.0,Perfect
JOAO PESSOA,2022-03,28.0,Perfect
JOAO PESSOA,2022-04,27.0,Perfect
JOAO PESSOA,2022-05,26.0,Perfect
JOAO PESSOA,2022-06,25.0,Perfect
JOAO PESSOA,2022-07,25.0,Perfect
JOAO PESSOA,2022-08,25.0,Perfect
JOAO PESSOA,2022-09,26.0,Perfect
JOAO PESSOA,2022-10,27.0,Perfect
JOAO PESSOA,2022-11,27.0,Perfect
JOAO PESSOA,2022-12,28.0,Perfect
JOAO PESSOA,2023-01,28.0,Perfect
JOAO PESSOA,2023-02,28.0,Perfect
JOAO PESSOA,2023-03,28.0,Perfect
JOAO PESSOA,2023-04,27.0,Perfect
JOAO PESSOA,2023-05,27.0,Perfect
JOAO PESSOA,2023-06,26.0,Perfect
JOAO PESSOA,2023-07,25.0,Perfect
JOAO PESSOA,2023-08,25.0,Perfect
JOAO PESSOA,2023-09,26.0,Perfect
JOAO PESSOA,2023-10,27.0,Perfect
JOAO PESSOA,2023-11,28.0,Perfect
JOAO PESSOA,2023-12,28.0,Perfect
LENCOIS,2019-01,26.0,Perfect
LENCOIS,2019-02,28.0,Perfect
LENCOIS,2019-03,27.0,Perfect
LENCOIS,2019-04,26.0,Perfect
LENCOIS,2019-05,25.0,Perfect
LENCOIS,2019-06,23.0,Regular
LENCOIS,2019-07,22.0,Regular
LENCOIS,2019-08,22.0,Regular
LENCOIS,2019-09,24.0,Regular
LENCOIS,2019-10,26.0,Perfect
LENCOIS,2019-11,27.0,Perfect
LENCOIS,2019-12,28.0,Perfect
LENCOIS,2020-01,26.0,Perfect
LENCOIS,2020-02,27.0,Perfect
LENCOIS,2020-03,25.0,Perfect
LENCOIS,2020-04,24.0,Regular
LENCOIS,2020-05,23.0,Regular
LENCOIS,2020-06,22.0,Regular
LENCOIS,2020-07,21.0,Regular
LENCOIS,2020-08,22.0,Regular
LENCOIS,2020-09,23.0,Regular
LENCOIS,2020-10,25.0,Perfect
LENCOIS,2020-11,24.0,Regular
LENCOIS,2020-12,25.0,Perfect
LENCOIS,2021-01,27.0,Perfect
LENCOIS,2021-02,28.0,Perfect
LENCOIS,2021-03,30.0,Perfect
LENCOIS,2021-04,28.0,Perfect
LENCOIS,2021-05,27.0,Perfect
LENCOIS,2021-06,26.0,Perfect
LENCOIS,2021-07,26.0,Perfect
LENCOIS,2021-08,26.0,Perfect
LENCOIS,2021-09,29.0,Perfect
LENCOIS,2021-10,27.0,Perfect
LENCOIS,2021-11,24.0,Regular
LENCOIS,2021-12,24.0,Regular
LENCOIS,2022-01,25.0,Perfect
LENCOIS,2022-02,26.0,Perfect
LENCOIS,2022-03,25.0,Perfect
LENCOIS,2022-04,24.0,Regular
LENCOIS,2022-05,23.0,Regular
LENCOIS,2022-06,22.0,Regular
LENCOIS,2022-07,21.0,Regular
LENCOIS,2022-08,23.0,Regular
LENCOIS,2022-09,24.0,Regular
LENCOIS,2022-10,25.0,Perfect
LENCOIS,2022-11,24.0,Regular
LENCOIS,2022-12,24.0,Regular
LENCOIS,2023-01,25.0,Perfect
LENCOIS,2023-02,26.0,Perfect
LENCOIS,2023-03,25.0,Perfect
LENCOIS,2023-04,25.0,Perfect
LENCOIS,2023-05,24.0,Regular
LENCOIS,2023-06,22.0,Regular
LENCOIS,2023-07,22.0,Regular
LENCOIS,2023-08,23.0,Regular
LENCOIS,2023-09,25.0,Perfect
LENCOIS,2023-10,27.0,Perfect
LENCOIS,2023-11,28.0,Perfect
LENCOIS,2023-12,28.0,Perfect
LUIZ EDUARDO MAGALHAES,2019-01,24.0,Regular
LUIZ EDUARDO MAGALHAES,2019-02,24.0,Regular
LUIZ EDUARDO MAGALHAES,2019-03,24.0,Regular
LUIZ EDUARDO MAGALHAES,2019-04,24.0,Regular
LUIZ EDUARDO MAGALHAES,2019-05,24.0,Regular
LUIZ EDUARDO MAGALHAES,2019-06,22.0,Regular
LUIZ EDUARDO MAGALHAES,2019-07,21.0,Regular
LUIZ EDUARDO MAGALHAES,2019-08,23.0,Regular
LUIZ EDUARDO MAGALHAES,2019-09,26.0,Perfect
LUIZ EDUARDO MAGALHAES,2019-10,27.0,Perfect
LUIZ EDUARDO MAGALHAES,2019-11,26.0,Perfect
LUIZ EDUARDO MAGALHAES,2019-12,26.0,Perfect
LUIZ EDUARDO MAGALHAES,2020-01,24.0,Regular
LUIZ EDUARDO MAGALHAES,2020-02,24.0,Regular
LUIZ EDUARDO MAGALHAES,2020-03,23.0,Regular
LUIZ EDUARDO MAGALHAES,2020-04,24.0,Regular
LUIZ EDUARDO MAGALHAES,2020-05,23.0,Regular
LUIZ EDUARDO MAGALHAES,2020-06,22.0,Regular
LUIZ EDUARDO MAGALHAES,2020-07,21.0,Regular
LUIZ EDUARDO MAGALHAES,2020-08,23.0,Regular
LUIZ EDUARDO MAGALHAES,2020-09,25.0,Perfect
LUIZ EDUARDO MAGALHAES,2020-10,23.0,Regular
LUIZ EDUARDO MAGALHAES,2020-11,23.0,Regular
LUIZ EDUARDO MAGALHAES,2020-12,23.0,Regular
LUIZ EDUARDO MAGALHAES,2021-01,25.0,Perfect
LUIZ EDUARDO MAGALHAES,2021-02,23.0,Regular
LUIZ EDUARDO MAGALHAES,2021-03,24.0,Regular
LUIZ EDUARDO MAGALHAES,2021-04,25.0,Perfect
LUIZ EDUARDO MAGALHAES,2021-05,24.0,Regular
LUIZ EDUARDO MAGALHAES,2021-06,24.0,Regular
LUIZ EDUARDO MAGALHAES,2021-07,24.0,Regular
LUIZ EDUARDO MAGALHAES,2021-08,24.0,Regular
LUIZ EDUARDO MAGALHAES,2021-09,26.0,Perfect
LUIZ EDUARDO MAGALHAES,2021-10,26.0,Perfect
LUIZ EDUARDO MAGALHAES,2021-11,24.0,Regular
LUIZ EDUARDO MAGALHAES,2021-12,23.0,Regular
LUIZ EDUARDO MAGALHAES,2022-01,23.0,Regular
LUIZ EDUARDO MAGALHAES,2022-02,24.0,Regular
LUIZ EDUARDO MAGALHAES,2022-03,24.0,Regular
LUIZ EDUARDO MAGALHAES,2022-04,24.0,Regular
LUIZ EDUARDO MAGALHAES,2022-05,23.0,Regular
LUIZ EDUARDO MAGALHAES,2022-06,22.0,Regular
LUIZ EDUARDO MAGALHAES,2022-07,22.0,Regular
LUIZ EDUARDO MAGALHAES,2022-08,23.0,Regular
LUIZ EDUARDO MAGALHAES,2022-09,25.0,Perfect
LUIZ EDUARDO MAGALHAES,2022-10,27.0,Perfect
LUIZ EDUARDO MAGALHAES,2022-11,23.0,Regular
LUIZ EDUARDO MAGALHAES,2022-12,23.0,Regular
LUIZ EDUARDO MAGALHAES,2023-01,23.0,Regular
LUIZ EDUARDO MAGALHAES,2023-02,24.0,Regular
LUIZ EDUARDO MAGALHAES,2023-03,24.0,Regular
LUIZ EDUARDO MAGALHAES,2023-04,24.0,Regular
LUIZ EDUARDO MAGALHAES,2023-05,23.0,Regular
LUIZ EDUARDO MAGALHAES,2023-06,22.0,Regular
LUIZ EDUARDO MAGALHAES,2023-07,22.0,Regular
LUIZ EDUARDO MAGALHAES,2023-08,24.0,Regular
LUIZ EDUARDO MAGALHAES,2023-09,27.0,Perfect
LUIZ EDUARDO MAGALHAES,2023-10,28.0,Perfect
LUIZ EDUARDO MAGALHAES,2023-11,26.0,Perfect
LUIZ EDUARDO MAGALHAES,2023-12,26.0,Perfect
MACAJUBA,2019-01,27.0,Perfect
MACAJUBA,2019-02,28.0,Perfect
MACAJUBA,2019-03,27.0,Perfect
MACAJUBA,2019-04,26.0,Perfect
MACAJUBA,2019-05,25.0,Perfect
MACAJUBA,2019-06,22.0,Regular
MACAJUBA,2019-07,22.0,Regular
MACAJUBA,2019-08,22.0,Regular
MACAJUBA,2019-09,23.0,Regular
MACAJUBA,2019-10,26.0,Perfect
MACAJUBA,2019-11,27.0,Perfect
MACAJUBA,2019-12,27.0,Perfect
MACAJUBA,2020-01,27.0,Perfect
MACAJUBA,2020-02,27.0,Perfect
MACAJUBA,2020-03,26.0,Perfect
MACAJUBA,2020-04,25.0,Perfect
MACAJUBA,2020-05,24.0,Regular
MACAJUBA,2020-06,22.0,Regular
MACAJUBA,2020-07,21.0,Regular
MACAJUBA,2020-08,22.0,Regular
MACAJUBA,2020-09,23.0,Regular
MACAJUBA,2020-10,26.0,Perfect
MACAJUBA,2020-11,26.0,Perfect
MACAJUBA,2020-12,27.0,Perfect
MACAJUBA,2021-01,28.0,Perfect
MACAJUBA,2021-02,29.0,Perfect
MACAJUBA,2021-03,30.0,Perfect
MACAJUBA,2021-04,28.0,Perfect
MACAJUBA,2021-05,26.0,Perfect
MACAJUBA,2021-06,25.0,Perfect
MACAJUBA,2021-07,25.0,Perfect
MACAJUBA,2021-08,25.0,Perfect
MACAJUBA,2021-09,28.0,Perfect
MACAJUBA,2021-10,27.0,Perfect
MACAJUBA,2021-11,27.0,Perfect
MACAJUBA,2021-12,27.0,Perfect
MACAJUBA,2023-01,26.0,Perfect
MACAJUBA,2023-02,26.0,Perfect
MACAJUBA,2023-03,26.0,Perfect
MACAJUBA,2023-04,26.0,Perfect
MACAJUBA,2023-05,26.0,Perfect
MACAJUBA,2023-06,26.0,Perfect
MACAJUBA,2023-07,26.0,Perfect
MACAJUBA,2023-08,26.0,Perfect
MACAJUBA,2023-09,24.0,Regular
MACAJUBA,2023-10,27.0,Perfect
MACAJUBA,2023-11,28.0,Perfect
MACAJUBA,2023-12,28.0,Perfect
MACAU,2019-01,27.0,Perfect
MACAU,2019-02,27.0,Perfect
MACAU,2019-03,27.0,Perfect
MACAU,2019-04,27.0,Perfect
MACAU,2019-05,27.0,Perfect
MACAU,2019-06,27.0,Perfect
MACAU,2019-07,27.0,Perfect
MACAU,2019-08,27.0,Perfect
MACAU,2019-09,28.0,Perfect
MACAU,2019-10,28.0,Perfect
MACAU,2019-11,28.0,Perfect
MACAU,2019-12,29.0,Perfect
MACAU,2020-01,28.0,Perfect
MACAU,2020-02,28.0,Perfect
MACAU,2020-03,28.0,Perfect
MACAU,2020-04,29.0,Perfect
MACAU,2020-05,29.0,Perfect
MACAU,2020-06,29.0,Perfect
MACAU,2020-07,29.0,Perfect
MACAU,2020-08,31.0,Perfect
MACAU,2020-09,31.0,Perfect
MACAU,2020-10,31.0,Perfect
MACAU,2020-11,31.0,Perfect
MACAU,2020-12,29.0,Perfect
MACAU,2022-01,28.0,Perfect
MACAU,2022-02,28.0,Perfect
MACAU,2022-03,28.0,Perfect
MACAU,2022-04,28.0,Perfect
MACAU,2022-05,28.0,Perfect
MACAU,2022-06,28.0,Perfect
MACAU,2022-07,28.0,Perfect
MACAU,2022-08,28.0,Perfect
MACAU,2022-09,27.0,Perfect
MACAU,2022-10,28.0,Perfect
MACAU,2022-11,28.0,Perfect
MACAU,2022-12,28.0,Perfect
MACAU,2023-01,28.0,Perfect
MACAU,2023-02,28.0,Perfect
MACAU,2023-03,27.0,Perfect
MACAU,2023-04,27.0,Perfect
MACAU,2023-05,27.0,Perfect
MACAU,2023-06,27.0,Perfect
MACAU,2023-07,27.0,Perfect
MACAU,2023-08,27.0,Perfect
MACAU,2023-09,28.0,Perfect
MACAU,2023-10,28.0,Perfect
MACAU,2023-11,28.0,Perfect
MACAU,2023-12,28.0,Perfect
MACEIO,2019-01,26.0,Perfect
MACEIO,2019-02,27.0,Perfect
MACEIO,2019-03,27.0,Perfect
MACEIO,2019-04,27.0,Perfect
MACEIO,2019-05,26.0,Perfect
MACEIO,2019-06,25.0,Perfect
MACEIO,2019-07,24.0,Regular
MACEIO,2019-08,24.0,Regular
MACEIO,2019-09,25.0,Perfect
MACEIO,2019-10,25.0,Perfect
MACEIO,2019-11,26.0,Perfect
MACEIO,2019-12,27.0,Perfect
MACEIO,2020-01,27.0,Perfect
MACEIO,2020-02,27.0,Perfect
MACEIO,2020-03,27.0,Perfect
MACEIO,2020-04,27.0,Perfect
MACEIO,2020-05,27.0,Perfect
MACEIO,2020-06,27.0,Perfect
MACEIO,2020-07,27.0,Perfect
MACEIO,2020-08,27.0,Perfect
MACEIO,2020-09,27.0,Perfect
MACEIO,2020-10,27.0,Perfect
MACEIO,2020-11,27.0,Perfect
MACEIO,2020-12,26.0,Perfect
MACEIO,2021-01,26.0,Perfect
MACEIO,2021-02,27.0,Perfect
MACEIO,2021-03,26.0,Perfect
MACEIO,2021-04,26.0,Perfect
MACEIO,2021-05,25.0,Perfect
MACEIO,2021-06,24.0,Regular
MACEIO,2021-07,24.0,Regular
MACEIO,2021-08,23.0,Regular
MACEIO,2021-09,25.0,Perfect
MACEIO,2021-10,26.0,Perfect
MACEIO,2021-11,27.0,Perfect
MACEIO,2021-12,27.0,Perfect
MACEIO,2022-01,27.0,Perfect
MACEIO,2022-02,27.0,Perfect
MACEIO,2022-03,26.0,Perfect
MACEIO,2022-04,26.0,Perfect
MACEIO,2022-05,25.0,Perfect
MACEIO,2022-06,24.0,Regular
MACEIO,2022-07,24.0,Regular
MACEIO,2022-08,25.0,Perfect
MACEIO,2022-09,24.0,Regular
MACEIO,2022-10,25.0,Perfect
MACEIO,2022-11,26.0,Perfect
MACEIO,2022-12,26.0,Perfect
MACEIO,2023-01,26.0,Perfect
MACEIO,2023-02,27.0,Perfect
MACEIO,2023-03,27.0,Perfect
MACEIO,2023-04,26.0,Perfect
MACEIO,2023-05,26.0,Perfect
MACEIO,2023-06,24.0,Regular
MACEIO,2023-07,24.0,Regular
MACEIO,2023-08,24.0,Regular
MACEIO,2023-09,25.0,Perfect
MACEIO,2023-10,25.0,Perfect
MACEIO,2023-11,25.0,Perfect
MACEIO,2023-12,26.0,Perfect
MARAU,2019-01,27.0,Perfect
MARAU,2019-02,28.0,Perfect
MARAU,2019-03,27.0,Perfect
MARAU,2019-04,27.0,Perfect
MARAU,2019-05,26.0,Perfect
MARAU,2019-06,24.0,Regular
MARAU,2019-07,23.0,Regular
MARAU,2019-08,23.0,Regular
MARAU,2019-09,24.0,Regular
MARAU,2019-10,25.0,Perfect
MARAU,2019-11,26.0,Perfect
MARAU,2019-12,27.0,Perfect
MARAU,2020-01,27.0,Perfect
MARAU,2020-02,27.0,Perfect
MARAU,2020-03,27.0,Perfect
MARAU,2020-04,26.0,Perfect
MARAU,2020-05,25.0,Perfect
MARAU,2020-06,24.0,Regular
MARAU,2020-07,23.0,Regular
MARAU,2020-08,23.0,Regular
MARAU,2020-09,24.0,Regular
MARAU,2020-10,26.0,Perfect
MARAU,2020-11,26.0,Perfect
MARAU,2020-12,26.0,Perfect
MARAU,2021-01,26.0,Perfect
MARAU,2021-02,26.0,Perfect
MARAU,2021-03,26.0,Perfect
MARAU,2021-04,26.0,Perfect
MARAU,2021-05,26.0,Perfect
MARAU,2021-06,26.0,Perfect
MARAU,2021-07,26.0,Perfect
MARAU,2021-08,26.0,Perfect
MARAU,2021-09,26.0,Perfect
MARAU,2021-10,26.0,Perfect
MARAU,2021-11,26.0,Perfect
MARAU,2021-12,26.0,Perfect
MARAU,2022-01,25.0,Perfect
MARAU,2022-02,26.0,Perfect
MARAU,2022-03,26.0,Perfect
MARAU,2022-04,26.0,Perfect
MARAU,2022-05,25.0,Perfect
MARAU,2022-06,23.0,Regular
MARAU,2022-07,23.0,Regular
MARAU,2022-08,23.0,Regular
MARAU,2022-09,24.0,Regular
MARAU,2022-10,25.0,Perfect
MARAU,2022-11,25.0,Perfect
MARAU,2022-12,26.0,Perfect
MARAU,2023-01,26.0,Perfect
MARAU,2023-02,27.0,Perfect
MARAU,2023-03,27.0,Perfect
MARAU,2023-04,26.0,Perfect
MARAU,2023-05,25.0,Perfect
MARAU,2023-06,25.0,Perfect
MARAU,2023-07,26.0,Perfect
MARAU,2023-08,26.0,Perfect
MARAU,2023-09,26.0,Perfect
MARAU,2023-10,26.0,Perfect
MARAU,2023-11,26.0,Perfect
MARAU,2023-12,26.0,Perfect
MONTEIRO,2019-01,26.0,Perfect
MONTEIRO,2019-02,26.0,Perfect
MONTEIRO,2019-03,26.0,Perfect
MONTEIRO,2019-04,25.0,Perfect
MONTEIRO,2019-05,25.0,Perfect
MONTEIRO,2019-06,23.0,Regular
MONTEIRO,2019-07,23.0,Regular
MONTEIRO,2019-08,22.0,Regular
MONTEIRO,2019-09,25.0,Perfect
MONTEIRO,2019-10,26.0,Perfect
MONTEIRO,2019-11,27.0,Perfect
MONTEIRO,2019-12,27.0,Perfect
MONTEIRO,2020-01,27.0,Perfect
MONTEIRO,2020-02,26.0,Perfect
MONTEIRO,2020-03,25.0,Perfect
MONTEIRO,2020-04,25.0,Perfect
MONTEIRO,2020-05,24.0,Regular
MONTEIRO,2020-06,22.0,Regular
MONTEIRO,2020-07,22.0,Regular
MONTEIRO,2020-08,23.0,Regular
MONTEIRO,2020-09,24.0,Regular
MONTEIRO,2020-10,26.0,Perfect
MONTEIRO,2020-11,26.0,Perfect
MONTEIRO,2020-12,26.0,Perfect
MONTEIRO,2021-01,26.0,Perfect
MONTEIRO,2021-02,26.0,Perfect
MONTEIRO,2021-03,26.0,Perfect
MONTEIRO,2021-04,25.0,Perfect
MONTEIRO,2021-05,24.0,Regular
MONTEIRO,2021-06,24.0,Regular
MONTEIRO,2021-07,26.0,Perfect
MONTEIRO,2021-08,25.0,Perfect
MONTEIRO,2021-09,25.0,Perfect
MONTEIRO,2021-10,25.0,Perfect
MONTEIRO,2021-11,25.0,Perfect
MONTEIRO,2021-12,27.0,Perfect
MONTEIRO,2022-01,26.0,Perfect
MONTEIRO,2022-02,26.0,Perfect
MONTEIRO,2022-03,25.0,Perfect
MONTEIRO,2022-04,25.0,Perfect
MONTEIRO,2022-05,24.0,Regular
MONTEIRO,2022-06,22.0,Regular
MONTEIRO,2022-07,22.0,Regular
MONTEIRO,2022-08,22.0,Regular
MONTEIRO,2022-09,24.0,Regular
MONTEIRO,2022-10,26.0,Perfect
MONTEIRO,2022-11,25.0,Perfect
MONTEIRO,2022-12,25.0,Perfect
MONTEIRO,2023-01,26.0,Perfect
MONTEIRO,2023-02,26.0,Perfect
MONTEIRO,2023-03,26.0,Perfect
MONTEIRO,2023-04,25.0,Perfect
MONTEIRO,2023-05,25.0,Perfect
MONTEIRO,2023-06,23.0,Regular
MONTEIRO,2023-07,23.0,Regular
MONTEIRO,2023-08,24.0,Regular
MONTEIRO,2023-09,25.0,Perfect
MONTEIRO,2023-10,27.0,Perfect
MONTEIRO,2023-11,27.0,Perfect
MONTEIRO,2023-12,27.0,Perfect
MORADA NOVA,2019-01,28.0,Perfect
MORADA NOVA,2019-02,27.0,Perfect
MORADA NOVA,2019-03,27.0,Perfect
MORADA NOVA,2019-04,27.0,Perfect
MORADA NOVA,2019-05,27.0,Perfect
MORADA NOVA,2019-06,27.0,Perfect
MORADA NOVA,2019-07,27.0,Perfect
MORADA NOVA,2019-08,27.0,Perfect
MORADA NOVA,2019-09,28.0,Perfect
MORADA NOVA,2019-10,28.0,Perfect
MORADA NOVA,2019-11,29.0,Perfect
MORADA NOVA,2019-12,29.0,Perfect
MORADA NOVA,2020-01,28.0,Perfect
MORADA NOVA,2020-02,28.0,Perfect
MORADA NOVA,2020-03,27.0,Perfect
MORADA NOVA,2020-04,27.0,Perfect
MORADA NOVA,2020-05,27.0,Perfect
MORADA NOVA,2020-06,26.0,Perfect
MORADA NOVA,2020-07,26.0,Perfect
MORADA NOVA,2020-08,27.0,Perfect
MORADA NOVA,2020-09,28.0,Perfect
MORADA NOVA,2020-10,29.0,Perfect
MORADA NOVA,2020-11,29.0,Perfect
MORADA NOVA,2020-12,29.0,Perfect
MORADA NOVA,2021-01,29.0,Perfect
MORADA NOVA,2021-02,29.0,Perfect
MORADA NOVA,2021-03,27.0,Perfect
MORADA NOVA,2021-04,27.0,Perfect
MORADA NOVA,2021-05,26.0,Perfect
MORADA NOVA,2021-06,27.0,Perfect
MORADA NOVA,2021-07,28.0,Perfect
MORADA NOVA,2021-08,29.0,Perfect
MORADA NOVA,2021-09,29.0,Perfect
MORADA NOVA,2021-10,30.0,Perfect
MORADA NOVA,2021-11,30.0,Perfect
MORADA NOVA,2021-12,30.0,Perfect
MORADA NOVA,2022-01,27.0,Perfect
MORADA NOVA,2022-02,28.0,Perfect
MORADA NOVA,2022-03,27.0,Perfect
MORADA NOVA,2022-04,27.0,Perfect
MORADA NOVA,2022-05,26.0,Perfect
MORADA NOVA,2022-06,25.0,Perfect
MORADA NOVA,2022-07,26.0,Perfect
MORADA NOVA,2022-08,26.0,Perfect
MORADA NOVA,2022-09,28.0,Perfect
MORADA NOVA,2022-10,29.0,Perfect
MORADA NOVA,2022-11,28.0,Perfect
MORADA NOVA,2022-12,28.0,Perfect
MORADA NOVA,2023-01,28.0,Perfect
MORADA NOVA,2023-02,28.0,Perfect
MORADA NOVA,2023-03,27.0,Perfect
MORADA NOVA,2023-04,27.0,Perfect
MORADA NOVA,2023-05,28.0,Perfect
MORADA NOVA,2023-06,27.0,Perfect
MORADA NOVA,2023-07,27.0,Perfect
MORADA NOVA,2023-08,28.0,Perfect
MORADA NOVA,2023-09,29.0,Perfect
MORADA NOVA,2023-10,29.0,Perfect
MORADA NOVA,2023-11,29.0,Perfect
MORADA NOVA,2023-12,29.0,Perfect
MOSSORO,2019-01,28.0,Perfect
MOSSORO,2019-02,27.0,Perfect
MOSSORO,2019-03,26.0,Perfect
MOSSORO,2019-04,27.0,Perfect
MOSSORO,2019-05,27.0,Perfect
MOSSORO,2019-06,26.0,Perfect
MOSSORO,2019-07,26.0,Perfect
MOSSORO,2019-08,26.0,Perfect
MOSSORO,2019-09,27.0,Perfect
MOSSORO,2019-10,27.0,Perfect
MOSSORO,2019-11,27.0,Perfect
MOSSORO,2019-12,28.0,Perfect
MOSSORO,2020-01,28.0,Perfect
MOSSORO,2020-02,28.0,Perfect
MOSSORO,2020-03,27.0,Perfect
MOSSORO,2020-04,28.0,Perfect
MOSSORO,2020-05,28.0,Perfect
MOSSORO,2020-06,28.0,Perfect
MOSSORO,2020-07,28.0,Perfect
MOSSORO,2020-08,28.0,Perfect
MOSSORO,2020-09,28.0,Perfect
MOSSORO,2020-10,28.0,Perfect
MOSSORO,2020-11,28.0,Perfect
MOSSORO,2020-12,28.0,Perfect
MOSSORO,2022-01,26.0,Perfect
MOSSORO,2022-02,26.0,Perfect
MOSSORO,2022-03,26.0,Perfect
MOSSORO,2022-04,26.0,Perfect
MOSSORO,2022-05,26.0,Perfect
MOSSORO,2022-06,26.0,Perfect
MOSSORO,2022-07,26.0,Perfect
MOSSORO,2022-08,26.0,Perfect
MOSSORO,2022-09,26.0,Perfect
MOSSORO,2022-10,26.0,Perfect
MOSSORO,2022-11,26.0,Perfect
MOSSORO,2022-12,26.0,Perfect
MOSSORO,2023-01,28.0,Perfect
MOSSORO,2023-02,28.0,Perfect
MOSSORO,2023-03,28.0,Perfect
MOSSORO,2023-04,28.0,Perfect
MOSSORO,2023-05,28.0,Perfect
MOSSORO,2023-06,28.0,Perfect
MOSSORO,2023-07,28.0,Perfect
MOSSORO,2023-08,27.0,Perfect
MOSSORO,2023-09,28.0,Perfect
MOSSORO,2023-10,28.0,Perfect
MOSSORO,2023-11,28.0,Perfect
MOSSORO,2023-12,28.0,Perfect
NATAL,2019-01,28.0,Perfect
NATAL,2019-02,28.0,Perfect
NATAL,2019-03,27.0,Perfect
NATAL,2019-04,27.0,Perfect
NATAL,2019-05,27.0,Perfect
NATAL,2019-06,26.0,Perfect
NATAL,2019-07,25.0,Perfect
NATAL,2019-08,25.0,Perfect
NATAL,2019-09,26.0,Perfect
NATAL,2019-10,26.0,Perfect
NATAL,2019-11,27.0,Perfect
NATAL,2019-12,28.0,Perfect
NATAL,2020-01,28.0,Perfect
NATAL,2020-02,28.0,Perfect
NATAL,2020-03,28.0,Perfect
NATAL,2020-04,28.0,Perfect
NATAL,2020-05,26.0,Perfect
NATAL,2020-06,26.0,Perfect
NATAL,2020-07,25.0,Perfect
NATAL,2020-08,25.0,Perfect
NATAL,2020-09,26.0,Perfect
NATAL,2020-10,27.0,Perfect
NATAL,2020-11,28.0,Perfect
NATAL,2020-12,28.0,Perfect
NATAL,2021-01,28.0,Perfect
NATAL,2021-02,29.0,Perfect
NATAL,2021-03,28.0,Perfect
NATAL,2021-04,29.0,Perfect
NATAL,2021-05,28.0,Perfect
NATAL,2021-06,27.0,Perfect
NATAL,2021-07,27.0,Perfect
NATAL,2021-08,27.0,Perfect
NATAL,2021-09,28.0,Perfect
NATAL,2021-10,28.0,Perfect
NATAL,2021-11,29.0,Perfect
NATAL,2021-12,29.0,Perfect
NATAL,2022-01,29.0,Perfect
NATAL,2022-02,30.0,Perfect
NATAL,2022-03,29.0,Perfect
NATAL,2022-04,28.0,Perfect
NATAL,2022-05,26.0,Perfect
NATAL,2022-06,25.0,Perfect
NATAL,2022-07,25.0,Perfect
NATAL,2022-08,25.0,Perfect
NATAL,2022-09,26.0,Perfect
NATAL,2022-10,27.0,Perfect
NATAL,2022-11,27.0,Perfect
NATAL,2022-12,27.0,Perfect
NATAL,2023-01,27.0,Perfect
NATAL,2023-02,28.0,Perfect
NATAL,2023-03,27.0,Perfect
NATAL,2023-04,27.0,Perfect
NATAL,2023-05,27.0,Perfect
NATAL,2023-06,26.0,Perfect
NATAL,2023-07,26.0,Perfect
NATAL,2023-08,26.0,Perfect
NATAL,2023-09,26.0,Perfect
NATAL,2023-10,28.0,Perfect
NATAL,2023-11,27.0,Perfect
NATAL,2023-12,27.0,Perfect
NOSSA SENHORA DA GLORIA,2019-01,26.0,Perfect
NOSSA SENHORA DA GLORIA,2019-02,25.0,Perfect
NOSSA SENHORA DA GLORIA,2019-03,26.0,Perfect
NOSSA SENHORA DA GLORIA,2019-04,27.0,Perfect
NOSSA SENHORA DA GLORIA,2019-05,26.0,Perfect
NOSSA SENHORA DA GLORIA,2019-06,23.0,Regular
NOSSA SENHORA DA GLORIA,2019-07,23.0,Regular
NOSSA SENHORA DA GLORIA,2019-08,22.0,Regular
NOSSA SENHORA DA GLORIA,2019-09,24.0,Regular
NOSSA SENHORA DA GLORIA,2019-10,25.0,Perfect
NOSSA SENHORA DA GLORIA,2019-11,27.0,Perfect
NOSSA SENHORA DA GLORIA,2019-12,27.0,Perfect
NOSSA SENHORA DA GLORIA,2020-01,27.0,Perfect
NOSSA SENHORA DA GLORIA,2020-02,27.0,Perfect
NOSSA SENHORA DA GLORIA,2020-03,27.0,Perfect
NOSSA SENHORA DA GLORIA,2020-04,26.0,Perfect
NOSSA SENHORA DA GLORIA,2020-05,25.0,Perfect
NOSSA SENHORA DA GLORIA,2020-06,23.0,Regular
NOSSA SENHORA DA GLORIA,2020-07,22.0,Regular
NOSSA SENHORA DA GLORIA,2020-08,22.0,Regular
NOSSA SENHORA DA GLORIA,2020-09,23.0,Regular
NOSSA SENHORA DA GLORIA,2020-10,26.0,Perfect
NOSSA SENHORA DA GLORIA,2020-11,26.0,Perfect
NOSSA SENHORA DA GLORIA,2020-12,26.0,Perfect
NOSSA SENHORA DA GLORIA,2021-01,26.0,Perfect
NOSSA SENHORA DA GLORIA,2021-02,27.0,Perfect
NOSSA SENHORA DA GLORIA,2021-03,27.0,Perfect
NOSSA SENHORA DA GLORIA,2021-04,26.0,Perfect
NOSSA SENHORA DA GLORIA,2021-05,24.0,Regular
NOSSA SENHORA DA GLORIA,2021-06,23.0,Regular
